TuitionID,Tuition,PaymentStart,PaymentEnd
774,22,2023-01-12,2023-11-03
775,18,2023-08-28,2023-11-04
776,50,2023-07-18,2023-11-05
777,46,2023-04-29,2023-11-02
778,46,2023-04-23,2023-11-03
779,27,2023-02-01,2023-11-02
780,42,2023-04-07,2023-11-02
781,32,2023-06-14,2023-11-04
782,31,2023-05-10,2023-11-02
783,16,2023-10-03,2023-11-02
784,29,2023-08-08,2023-11-03
785,25,2023-09-10,2023-11-04
786,23,2023-03-18,2023-11-05
787,15,2023-10-18,2023-11-04
788,25,2023-08-17,2023-11-01
789,43,2023-01-23,2023-11-02
790,36,2023-06-06,2023-11-04
791,21,2023-04-15,2023-11-02
792,41,2023-09-18,2023-11-02
793,20,2023-02-21,2023-11-03
794,41,2023-01-27,2023-11-01
795,12,2023-01-12,2023-11-05
796,14,2023-06-29,2023-11-03
797,44,2023-10-30,2023-11-01
798,36,2023-07-05,2023-11-02
799,10,2023-10-23,2023-11-01
800,12,2023-04-14,2023-11-01
801,21,2023-04-04,2023-11-05
802,11,2023-03-29,2023-11-04
803,43,2023-04-01,2023-11-02
804,47,2023-08-13,2023-11-02
805,29,2023-10-06,2023-11-03
806,48,2023-01-19,2023-11-02
807,39,2023-08-03,2023-11-01
808,45,2023-06-24,2023-11-04
809,16,2023-06-09,2023-11-02
810,35,2023-05-31,2023-11-03
811,50,2023-10-22,2023-11-05
812,18,2023-05-24,2023-11-05
813,18,2023-03-19,2023-11-01
814,34,2023-06-19,2023-11-03
815,50,2023-10-12,2023-11-03
816,45,2023-04-04,2023-11-05
817,13,2023-10-09,2023-11-05
818,46,2023-05-19,2023-11-04
819,45,2023-09-08,2023-11-01
820,10,2023-03-07,2023-11-02
821,35,2023-07-04,2023-11-04
822,24,2023-01-02,2023-11-01
823,24,2023-07-21,2023-11-04
824,19,2023-10-02,2023-11-02
825,35,2023-02-16,2023-11-02
826,28,2023-05-16,2023-11-01
827,33,2023-08-16,2023-11-01
828,31,2023-04-18,2023-11-05
829,47,2023-06-17,2023-11-01
830,39,2023-04-08,2023-11-05
831,13,2023-06-28,2023-11-02
832,38,2023-08-18,2023-11-01
833,34,2023-03-28,2023-11-01
834,29,2023-04-20,2023-11-02
835,21,2023-08-10,2023-11-04
836,19,2023-03-26,2023-11-03
837,29,2023-06-12,2023-11-04
838,49,2023-03-30,2023-11-01
839,40,2023-06-21,2023-11-04
840,23,2023-08-30,2023-11-05
841,33,2023-07-10,2023-11-02
842,25,2023-08-06,2023-11-02
843,36,2023-06-09,2023-11-01
844,20,2023-03-17,2023-11-03
845,50,2023-07-19,2023-11-03
846,30,2023-05-10,2023-11-03
847,12,2023-06-06,2023-11-01
848,25,2023-01-24,2023-11-03
849,14,2023-10-31,2023-11-03
850,28,2023-03-16,2023-11-01
851,41,2023-07-23,2023-11-04
852,44,2023-10-18,2023-11-02
853,13,2023-04-23,2023-11-02
854,18,2023-10-19,2023-11-01
855,37,2023-10-17,2023-11-04
856,37,2023-05-09,2023-11-05
857,20,2023-03-10,2023-11-03
858,16,2023-03-05,2023-11-02
859,16,2023-07-10,2023-11-03
860,26,2023-10-07,2023-11-02
861,35,2023-10-30,2023-11-03
862,14,2023-04-14,2023-11-03
863,14,2023-07-22,2023-11-04
864,43,2023-03-30,2023-11-01
865,19,2023-03-14,2023-11-03
866,30,2023-02-14,2023-11-04
867,42,2023-10-28,2023-11-04
868,13,2023-03-31,2023-11-02
869,41,2023-02-06,2023-11-02
870,21,2023-03-08,2023-11-03
871,43,2023-06-02,2023-11-03
872,20,2023-02-17,2023-11-05
873,49,2023-03-10,2023-11-02
874,29,2023-07-20,2023-11-02
875,36,2023-02-08,2023-11-01
876,18,2023-09-11,2023-11-01
877,42,2023-01-04,2023-11-04
878,17,2023-02-25,2023-11-01
879,44,2023-09-06,2023-11-01
880,20,2023-02-12,2023-11-04
881,24,2023-05-09,2023-11-04
882,36,2023-04-13,2023-11-02
883,11,2023-10-27,2023-11-03
884,15,2023-01-26,2023-11-01
885,12,2023-11-02,2023-11-01
886,27,2023-01-28,2023-11-01
887,47,2023-06-11,2023-11-03
888,30,2023-04-11,2023-11-03
889,34,2023-07-09,2023-11-04
890,36,2023-06-08,2023-11-01
891,12,2023-04-09,2023-11-04
892,22,2023-04-08,2023-11-05
893,35,2023-08-30,2023-11-05
894,16,2023-05-05,2023-11-01
895,49,2023-10-12,2023-11-01
896,49,2023-08-15,2023-11-02
897,41,2023-11-03,2023-11-02
898,11,2023-09-21,2023-11-03
899,11,2023-01-09,2023-11-05
900,22,2023-04-26,2023-11-04
901,23,2023-09-24,2023-11-05
902,47,2023-07-26,2023-11-03
903,50,2023-05-23,2023-11-04
904,39,2023-08-11,2023-11-01
905,46,2023-08-04,2023-11-05
906,26,2023-05-26,2023-11-03
907,48,2023-04-09,2023-11-01
908,14,2023-01-22,2023-11-05
909,41,2023-07-16,2023-11-02
910,46,2023-07-09,2023-11-01
911,23,2023-07-15,2023-11-03
912,50,2023-03-30,2023-11-03
913,26,2023-07-06,2023-11-05
914,41,2023-02-15,2023-11-01
915,50,2023-01-21,2023-11-02
916,36,2023-02-12,2023-11-04
917,23,2023-05-30,2023-11-03
918,46,2023-07-01,2023-11-04
919,36,2023-09-03,2023-11-05
920,39,2023-03-24,2023-11-05
921,40,2023-01-04,2023-11-05
922,31,2023-10-19,2023-11-02
923,19,2023-09-06,2023-11-04
924,24,2023-08-01,2023-11-02
925,12,2023-07-05,2023-11-05
926,37,2023-05-02,2023-11-02
927,25,2023-03-13,2023-11-01
928,24,2023-05-23,2023-11-05
929,28,2023-09-05,2023-11-01
930,47,2023-01-14,2023-11-02
931,12,2023-07-06,2023-11-05
932,10,2023-10-14,2023-11-02
933,27,2023-10-24,2023-11-03
934,38,2023-09-13,2023-11-05
935,22,2023-07-26,2023-11-03
936,20,2023-10-21,2023-11-01
937,31,2023-05-19,2023-11-05
938,36,2023-09-18,2023-11-02
939,19,2023-10-10,2023-11-02
940,37,2023-05-19,2023-11-05
941,42,2023-05-21,2023-11-01
942,13,2023-07-08,2023-11-05
943,36,2023-02-17,2023-11-02
944,49,2023-10-15,2023-11-02
945,28,2023-09-01,2023-11-03
946,45,2023-05-14,2023-11-03
947,44,2023-06-06,2023-11-01
948,28,2023-10-04,2023-11-01
949,30,2023-01-23,2023-11-04
950,30,2023-02-13,2023-11-02
951,18,2023-01-03,2023-11-01
952,15,2023-10-20,2023-11-04
953,43,2023-10-19,2023-11-04
954,10,2023-04-14,2023-11-05
955,49,2023-04-12,2023-11-05
956,41,2023-06-04,2023-11-01
957,36,2023-07-27,2023-11-03
958,21,2023-01-13,2023-11-04
959,12,2023-06-12,2023-11-01
960,27,2023-07-23,2023-11-04
961,45,2023-03-24,2023-11-04
962,30,2023-09-15,2023-11-02
963,28,2023-05-15,2023-11-02
964,13,2023-09-16,2023-11-01
965,12,2023-04-11,2023-11-01
966,19,2023-03-23,2023-11-03
967,15,2023-08-04,2023-11-02
968,49,2023-09-06,2023-11-01
969,13,2023-09-30,2023-11-02
970,40,2023-10-27,2023-11-02
971,15,2023-05-06,2023-11-04
972,24,2023-03-30,2023-11-01
973,32,2023-11-02,2023-11-04
974,34,2023-05-13,2023-11-02
975,19,2023-01-20,2023-11-03
976,32,2023-01-06,2023-11-05
977,44,2023-07-05,2023-11-03
978,33,2023-04-08,2023-11-02
979,28,2023-03-11,2023-11-02
980,46,2023-08-27,2023-11-04
981,40,2023-06-08,2023-11-03
982,23,2023-05-05,2023-11-04
983,13,2023-04-14,2023-11-01
984,49,2023-03-20,2023-11-01
985,18,2023-05-27,2023-11-02
986,33,2023-04-27,2023-11-05
987,26,2023-08-19,2023-11-04
988,34,2023-04-03,2023-11-01
989,25,2023-09-15,2023-11-01
990,38,2023-02-12,2023-11-03
991,44,2023-03-24,2023-11-04
992,28,2023-10-18,2023-11-01
993,10,2023-02-15,2023-11-03
994,21,2023-07-04,2023-11-05
995,36,2023-09-29,2023-11-04
996,29,2023-07-11,2023-11-05
997,35,2023-04-21,2023-11-04
998,47,2023-08-22,2023-11-04
999,14,2023-05-12,2023-11-01
